SITE	SOURCE_SITE	Long	Lat	E_rate	N_rate	H_rate	Error_E	Error_N	Error_H	RHO_EN	Covariance_EN	Velocity_Magnitude	Velocity_Azimuth_deg	Ellipse_Major_1sigma	Ellipse_Minor_1sigma	Ellipse_Azimuth_deg
VIBU	VIBU_167	-83.85372	9.97654	2.27	16.24	-8.93	0.11	0.08	0.37	-0.002	-0.00001760	16.398	7.96	0.1100	0.0800	90.18
VICI	VICI_G96	-83.79675	9.96387	-0.71	15.86	-6.22	0.09	0.07	0.29	-0.061	-0.00038430	15.876	357.44	0.0903	0.0697	96.75
VIPI	VIPI_G67	-83.84305	9.97963	-2.35	15.93	17.23	1.75	1.35	6.28	0.001	0.00236250	16.102	351.61	1.7500	1.3500	89.89
VISG	VISG_G67	-83.84161	10.00562	2.38	9.71	-7.50	0.13	0.11	0.48	0.059	0.00084370	9.997	13.77	0.1306	0.1093	80.32
VISP	VISP_G67	-83.83507	9.94156	1.71	19.18	-5.84	0.10	0.08	0.34	-0.079	-0.00063200	19.256	5.09	0.1005	0.0793	99.67
VLCN	VLCN_286	-82.63880	8.78514	5.71	14.65	-0.04	0.11	0.08	0.39	-0.009	-0.00007920	15.723	21.29	0.1100	0.0800	90.80
VMAR	VMAR_G92	-85.12048	10.81246	-3.13	11.94	1.02	0.13	0.10	0.45	0.014	0.00018200	12.343	345.31	0.1300	0.1000	88.49
VMFM	VMFM_G92	-85.25291	10.70885	-3.22	16.70	-1.63	0.19	0.15	0.66	-0.023	-0.00065550	17.008	349.09	0.1901	0.1499	92.75
VOMA	VOMA_G80	-85.49603	10.95769	-4.68	14.64	6.57	5.08	3.90	20.06	0.113	2.23875600	15.370	342.27	5.1244	3.8414	78.55
VOPI	VOPI_G80	-85.42416	10.99369	-6.55	14.85	0.08	0.66	0.50	2.32	-0.023	-0.00759000	16.230	336.20	0.6602	0.4997	92.34
VPCI	VPCI_G67	-84.23229	10.19048	-0.76	11.41	1.03	0.11	0.08	0.35	-0.003	-0.00002640	11.435	356.19	0.1100	0.0800	90.27
VPCL	VPCL_G67	-84.24788	10.17514	-1.18	11.25	6.45	0.36	0.33	1.90	-0.074	-0.00879120	11.312	354.01	0.3645	0.3251	110.17
VPCR	VPCR_G67	-84.22950	10.20383	1.12	14.92	0.66	0.12	0.09	0.40	-0.023	-0.00024840	14.962	4.29	0.1200	0.0899	92.25
VPEV	VPEV_G67	-84.23657	10.18563	-0.76	11.41	1.03	0.11	0.08	0.35	-0.003	-0.00002640	11.435	356.19	0.1100	0.0800	90.27
VPJA	VPJA_G67	-84.22060	10.16530	-0.89	13.03	0.70	0.10	0.08	0.35	-0.034	-0.00027200	13.060	356.09	0.1001	0.0799	94.30
VPPC	VPPC_GA2	-84.22772	10.19968	1.12	14.92	0.66	0.11	0.09	0.40	-0.026	-0.00025740	14.962	4.29	0.1101	0.0899	93.67
VRAI	VRAI_G67	-83.19064	9.92485	2.43	9.89	-4.12	0.04	0.03	0.16	0.059	0.00007080	10.184	13.80	0.0401	0.0299	84.28
VRBO	VRBO_G80	-85.39457	10.81515	-6.85	16.17	-2.80	1.21	1.01	4.78	0.026	0.03177460	17.561	337.04	1.2109	1.0089	85.93
VRBV	VRBV_G80	-85.40702	10.79808	-7.41	14.10	3.93	0.17	0.15	0.65	-0.076	-0.00193800	15.929	332.28	0.1716	0.1482	105.60
VRCO	VRCO_G80	-85.34666	10.81950	-5.40	13.75	6.23	0.11	0.09	0.46	0.043	0.00042570	14.772	338.56	0.1102	0.0898	83.99
VRFI	VRFI_G80	-85.31423	10.87769	-3.71	16.38	1.50	0.13	0.11	0.52	0.039	0.00055770	16.795	347.24	0.1302	0.1097	83.46
VRGA	VRGA_G80	-85.35925	10.87550	-4.67	12.32	-5.86	4.54	3.65	17.05	-0.033	-0.54684300	13.175	339.24	4.5445	3.6444	94.27
VRNZ	VRNZ_G80	-85.38790	10.85543	-7.77	17.44	8.84	0.34	0.27	1.24	-0.056	-0.00514080	19.093	335.99	0.3409	0.2689	96.77
VTCA	VTCA_G67	-83.77921	10.00406	1.57	13.24	-1.69	0.18	0.14	0.60	0.053	0.00133560	13.333	6.76	0.1804	0.1395	84.11
VTCE	VTCE_G67	-83.75733	10.02524	-8.29	11.02	-19.28	0.06	0.05	0.22	0.014	0.00004200	13.790	323.05	0.0600	0.0500	87.82
VTCI	VTCI_G67	-83.76016	10.01833	-8.29	11.02	-19.28	0.06	0.05	0.22	0.014	0.00004200	13.790	323.05	0.0600	0.0500	87.82
VTFE	VTFE_G67	-83.77161	9.99631	11.95	10.53	12.60	0.85	0.68	3.07	-0.009	-0.00520200	15.927	48.61	0.8501	0.6799	91.15
VTGL	VTGL_G67	-83.73718	9.96291	1.91	14.21	-4.04	0.16	0.13	0.59	-0.043	-0.00089440	14.338	7.66	0.1603	0.1296	95.81
VTGP	VTGP_267	-83.75855	10.01482	-8.29	10.92	-19.29	0.06	0.10	0.23	-0.123	-0.00073800	13.710	322.80	0.1004	0.0593	173.51
VTPC	VTPC_G67	-83.78380	10.02566	7.29	22.23	5.85	4.97	3.93	18.04	0.004	0.07812840	23.395	18.16	4.9701	3.9299	89.52
VTQU	VTQU_G67	-83.76713	10.00387	11.95	10.51	12.60	0.85	0.68	3.07	-0.009	-0.00520200	15.914	48.67	0.8501	0.6799	91.15
VTSY	VTSY_G67	-83.78493	10.01363	0.34	13.60	7.91	3.27	2.76	7.77	-0.006	-0.05415120	13.604	1.43	3.2701	2.7598	91.01
VTTL	VTTL_G67	-83.78891	10.00296	8.35	15.40	14.34	1.11	0.88	4.11	-0.025	-0.02442000	17.518	28.47	1.1106	0.8793	93.05
