SITE	SOURCE_SITE	Long	Lat	E_rate	N_rate	H_rate	Error_E	Error_N	Error_H	RHO_EN	Covariance_EN	Velocity_Magnitude	Velocity_Azimuth_deg	Ellipse_Major_1sigma	Ellipse_Minor_1sigma	Ellipse_Azimuth_deg
ELVI	ELVI_271	-85.44581	10.39470	-4.11	19.54	5.03	0.04	0.03	0.13	0.060	0.00007200	19.968	348.12	0.0401	0.0299	84.19
EPZA	EPZA_275	-85.56807	10.14094	-2.04	21.02	-4.04	0.04	0.03	0.13	0.026	0.00003120	21.119	354.46	0.0400	0.0300	87.45
ETCG	ETCG_267	-84.10590	9.99949	-2.39	15.98	-1.66	0.19	0.15	0.66	-0.007	-0.00019950	16.158	351.49	0.1900	0.1500	90.84
FINA	FINA_G71	-85.20828	10.43379	-8.68	20.38	-5.76	2.56	1.93	8.81	-0.007	-0.03458560	22.151	336.93	2.5601	1.9299	90.70
GAMB	GAMB_GPS	-134.96484	-23.13035	-94.82	55.84	-1.84	0.79	0.63	1.83	0.176	0.08759520	110.041	300.49	0.8087	0.6058	71.18
GIBE	GIBE_267	-83.73874	10.03795	-0.19	10.87	3.45	0.54	0.49	2.27	-0.052	-0.01375920	10.872	359.00	0.5432	0.4865	104.06
GLPS	GLPS_4PS	-90.30367	-0.74300	28.95	11.93	-0.63	0.03	0.03	0.10	0.295	0.00026550	31.312	67.60	0.0341	0.0252	45.00
GRZA	GRZA_G71	-85.63562	9.91552	5.88	26.17	-9.20	0.03	0.03	0.10	0.094	0.00008460	26.822	12.66	0.0314	0.0286	45.00
GTCR	GTCR_GB1	-84.05120	9.93944	-8.05	16.31	-1.44	0.42	0.33	1.43	0.002	0.00027720	18.188	333.73	0.4200	0.3300	89.76
GUAT	GUAT_573	-90.52018	14.59040	-7.58	4.91	0.57	0.09	0.07	0.32	-0.001	-0.00000630	9.031	302.93	0.0900	0.0700	90.11
HATI	HATI_371	-85.71006	10.29220	-7.25	13.61	-3.06	0.08	0.07	0.39	0.008	0.00004480	15.421	331.96	0.0800	0.0700	88.29
HERH	HERH_G83	-86.83101	12.60931	4.78	12.87	-4.56	0.86	0.67	3.05	0.003	0.00172860	13.729	20.38	0.8600	0.6700	89.66
HORI	HORI_280	-85.59540	10.71368	-6.62	16.62	1.82	0.05	0.04	0.17	0.046	0.00009200	17.890	338.28	0.0501	0.0399	84.22
HOYN	HOYN_G83	-86.82811	12.59873	3.67	10.25	95.54	4.34	4.02	23.53	-0.017	-0.29659560	10.887	19.70	4.3437	4.0160	96.25
HUA2	HUA2_475	-85.35170	10.01773	0.07	21.42	-4.09	0.04	0.03	0.12	0.062	0.00007440	21.420	0.19	0.0401	0.0299	84.00
IGN1	IGN1_GPS	-79.53576	8.98489	2.12	7.53	0.00	0.27	0.21	0.95	-0.001	-0.00005670	7.823	15.72	0.2700	0.2100	90.11
IND1	IND1_271	-85.50220	9.86463	2.74	29.66	-12.26	0.04	0.04	0.18	0.064	0.00010240	29.786	5.28	0.0413	0.0387	45.00
INEG	INEG_413	-102.28421	21.85615	-19.00	10.54	-62.07	0.07	0.06	0.25	-0.050	-0.00021000	21.728	299.02	0.0702	0.0597	98.95
IRZU	IRZU_367	-83.89755	9.96686	2.34	13.88	-1.85	0.12	0.10	0.43	-0.096	-0.00115200	14.076	9.57	0.1212	0.0986	103.82
ISCO	ISCO_2PS	-87.05583	5.54435	33.31	74.41	-4.60	0.10	0.07	0.42	0.091	0.00063700	81.525	24.12	0.1004	0.0694	82.99
ISPA	ISPA_254	-109.34440	-27.12498	34.38	8.92	3.53	0.20	0.18	0.64	0.005	0.00018000	35.518	75.46	0.2000	0.1800	88.64
JACO	JACO_G71	-84.65948	9.66244	-1.21	15.53	0.23	0.11	0.08	0.41	0.131	0.00115280	15.577	355.54	0.1110	0.0786	78.99
JCFI	JCFI_G83	-86.82827	12.68375	-5.86	14.42	-3.96	0.89	0.69	3.18	-0.001	-0.00061410	15.565	337.88	0.8900	0.6900	90.11
JPLM	JPLM_6PS	-118.17323	34.20483	-37.75	30.51	0.00	0.05	0.05	0.15	-0.017	-0.00004250	48.538	308.95	0.0504	0.0496	135.00
KIOS	KIOS_G95	-86.70171	12.49432	-6.86	12.47	183.07	0.41	0.30	1.67	-0.093	-0.01143900	14.232	331.18	0.4120	0.2973	98.16
KOUG	KOUG_2PS	-52.63975	5.09847	-22.47	-6.18	-0.36	0.03	0.02	0.09	0.027	0.00001620	23.304	254.62	0.0300	0.0200	88.15
KOUR	KOUR_8PS	-52.80596	5.25218	-22.33	-6.14	-0.95	0.05	0.04	0.15	-0.045	-0.00009000	23.159	254.63	0.0501	0.0399	95.65
LACR	LACR_G83	-85.63612	11.07750	-6.67	14.42	0.63	0.32	0.25	1.12	-0.030	-0.00240000	15.888	335.18	0.3202	0.2497	93.43
LAFE	LAFE_G71	-84.96028	9.80706	-0.40	18.52	-1.09	0.06	0.05	0.24	-0.029	-0.00008700	18.524	358.76	0.0601	0.0499	94.49
LBRA	LBRA_G71	-85.43798	10.63096	-6.41	15.05	1.66	0.25	0.19	0.87	0.004	0.00019000	16.358	336.93	0.2500	0.1900	89.59
LCFN	LCFN_G67	-84.71530	11.03072	2.27	5.88	-0.20	0.24	0.19	0.84	0.023	0.00104880	6.303	21.11	0.2401	0.1899	87.21
LCRZ	LCRZ_G83	-85.62998	11.07860	-6.67	14.42	0.63	0.32	0.25	1.12	-0.030	-0.00240000	15.888	335.18	0.3202	0.2497	93.43
LEME	LEME_G83	-86.90948	12.42743	-9.36	11.77	0.50	0.19	0.15	0.60	-0.012	-0.00034200	15.038	321.51	0.1900	0.1500	91.44
LEPA	LEPA_471	-85.03120	9.94537	0.24	19.03	0.66	0.04	0.03	0.12	0.063	0.00007560	19.032	0.72	0.0401	0.0299	83.91
LIBE	LIBE_G71	-85.43788	10.63061	-6.41	15.05	1.66	0.25	0.19	0.87	0.004	0.00019000	16.358	336.93	0.2500	0.1900	89.59
LIMN	LIMN_G67	-83.02637	9.99309	3.51	8.65	-3.13	0.24	0.18	0.84	-0.019	-0.00082080	9.335	22.09	0.2401	0.1799	91.86
LIVP	LIVP_G67	-83.12579	9.99166	-1.05	8.59	-5.41	0.90	0.73	3.26	-0.016	-0.01051200	8.654	353.03	0.9002	0.7297	92.17
LMMF	LMMF_340	-60.99618	14.59482	0.39	0.71	-0.79	0.03	0.02	0.09	-0.066	-0.00003960	0.810	28.78	0.0301	0.0199	94.50
LMNL	LMNL_G82	-85.05333	10.26751	-0.84	17.41	2.06	0.04	0.03	0.13	0.031	0.00003720	17.430	357.24	0.0400	0.0300	86.97
LOL2	LOL2_G71	-84.71368	10.49009	2.40	10.35	-1.95	0.17	0.13	0.59	-0.022	-0.00048620	10.625	13.06	0.1701	0.1299	92.32
LOLA	LOLA_G71	-84.71368	10.49009	2.40	10.35	-1.95	0.17	0.13	0.59	-0.022	-0.00048620	10.625	13.06	0.1701	0.1299	92.32
MANA	MANA_583	-86.24899	12.14894	-3.56	10.81	-2.00	0.07	0.06	0.25	0.007	0.00002940	11.381	341.77	0.0700	0.0600	88.71
MDO1	MDO1_5PS	-104.01500	30.68051	-14.18	3.87	-0.62	0.10	0.09	0.38	-0.052	-0.00046800	14.699	285.27	0.1005	0.0894	103.11
MOM0	MOM0_G83	-86.54089	12.40609	-6.31	7.79	-1.92	0.23	0.21	1.19	-0.023	-0.00111090	10.025	320.99	0.2303	0.2097	97.08
MUEL	MUEL_G67	-84.46367	10.47483	2.33	3.92	-1.22	0.14	0.11	0.50	0.010	0.00015400	4.560	30.73	0.1400	0.1100	88.82
NEIL	NEIL_G86	-82.94439	8.64436	8.89	21.85	-0.79	0.35	0.28	1.25	-0.013	-0.00127400	23.589	22.14	0.3501	0.2799	91.65
NI01	NI01_G99	-85.45033	10.15343	0.58	22.05	0.65	0.38	0.30	1.31	-0.013	-0.00148200	22.058	1.51	0.3801	0.2999	91.56
NICY	NICY_G75	-85.45455	10.14246	-3.07	19.83	1.73	0.23	0.17	0.78	-0.031	-0.00121210	20.066	351.20	0.2301	0.1698	92.88
NYCO	NYCO_G75	-85.45501	10.14401	-3.07	19.83	1.73	0.23	0.17	0.78	-0.031	-0.00121210	20.066	351.20	0.2301	0.1698	92.88
OCHA	OCHA_G67	-83.64562	9.09751	9.38	25.60	-0.39	0.10	0.08	0.43	-0.011	-0.00008800	27.264	20.12	0.1000	0.0800	91.40
OROT	OROT_GA2	-84.52367	9.91067	-0.33	12.09	0.65	0.98	0.77	2.64	-0.006	-0.00452760	12.095	358.44	0.9800	0.7700	90.71
ORTE	ORTE_G71	-85.45904	10.36223	-5.45	17.34	6.37	0.24	0.18	0.84	-0.036	-0.00155520	18.176	342.55	0.2402	0.1797	93.52
OVSI	OVSI_G67	-84.11131	10.00184	-2.39	15.98	-1.66	0.19	0.15	0.66	-0.007	-0.00019950	16.158	351.49	0.1900	0.1500	90.84
PAND	PAND_G67	-82.97695	9.73504	2.70	7.03	-4.23	0.42	0.33	1.65	-0.079	-0.01094940	7.531	21.01	0.4221	0.3274	98.99
PAVO	PAVO_GA1	-83.14248	8.37137	2.84	23.27	-7.65	0.52	0.45	2.27	-0.016	-0.00374400	23.443	6.96	0.5202	0.4498	93.15
