# Adjust velocities relative to the CARIB08 plate model
# Velocities are in mm/yr and referenced to ITRF14
# STAT        Lat      Long   Height      Nvel     Evel   Uvel     Nerr     Eerr     Uerr    CorrNE CorrNU CorrEU Sdate       Edate     InstallYear
#           °        °      m          mm/yr    mm/yr    mm/yr    mm/yr    mm/yr     mm/yr                      YEAR-MO-DY   YEAR-MO-DY  YEAR-MO-DY
#--------------------------------------------------------------------------------------------------------------------------------------------------------------
PUMO  10.0645  -84.9667    17.941      2.146   -19.702     0.121      0.136     0.182     0.035   0.9898  0.6705  0.6593    2007-04-25  2025-09-21  2007
PUNT   9.9799  -84.8321    23.656      9.527    -9.679     0.965      0.114     0.201     0.043   0.9813  0.1946  0.1944    2010-11-27  2025-09-17  2010
QPSB   9.3919  -84.1239    56.449     20.227     2.028     0.213      0.027     0.027     0.078  -0.0525  0.1134  0.0934    2018-08-03  2025-09-21  2018
QSEC   9.8404  -85.3573    17.645    -21.594   -20.180    22.620      0.455     0.205     0.315   0.9812 -0.9929 -0.9617    2006-04-28  2025-09-21  2006
RIDC   9.9197  -84.0491  1212.165     13.156    -8.636     1.305      0.034     0.108     0.038   0.8699  0.0246  0.0941    2010-11-27  2025-09-21  2010
RIFO  10.3173  -83.9226   116.257      7.232    -4.003     1.283      0.040     0.110     0.079   0.9326 -0.8007 -0.8453    2010-03-10  2025-09-21  2010
SAJU  10.0671  -85.7106    73.713    -15.390   -38.146    24.866      0.385     0.421     0.363   0.9945 -0.9843 -0.9934    2008-03-29  2025-09-21  2008
SRBA   9.2321  -83.3600   940.003     21.794     7.205    -0.730      0.021     0.022     0.078   0.0055 -0.2111 -0.2053    2017-06-22  2025-09-21  2017
VERA  10.8536  -84.8690    64.313     -1.152   -11.128    -0.004      0.119     0.138     0.029   0.9891  0.2385  0.2146    2009-08-02  2025-08-02  2009
VISP   9.9416  -83.8351  2612.701     16.510     0.716    -2.093      0.059     0.020     0.090   0.6975 -0.8595 -0.5351    2015-10-15  2025-09-21  2015
VRAI   9.9248  -83.1906   438.341     10.214     2.299    -4.168      0.010     0.011     0.039   0.0722  0.2614  0.1600    2012-10-19  2025-09-21  2012
