# Adjust velocities relative to the CARIB08 plate model
# Velocities are in mm/yr and referenced to ITRF14
# STAT        Lat      Long   Height      Nvel     Evel   Uvel     Nerr     Eerr     Uerr    CorrNE CorrNU CorrEU Sdate       Edate     InstallYear
#           °        °      m          mm/yr    mm/yr    mm/yr    mm/yr    mm/yr     mm/yr                      YEAR-MO-DY   YEAR-MO-DY  YEAR-MO-DY
#--------------------------------------------------------------------------------------------------------------------------------------------------------------
PUMO  10.0645  -84.9667    17.941     15.488    -1.210     2.815      0.040     0.026     0.038   0.8408 -0.1363 -0.2292    2013-01-01  2025-09-21  2007
PUNT   9.9799  -84.8321    23.656     13.772    -1.865     1.441      0.033     0.025     0.043   0.7694 -0.1690 -0.2238    2013-01-01  2025-09-17  2010
QPSB   9.3919  -84.1239    56.449     20.227     2.028     0.213      0.027     0.027     0.078  -0.0525  0.1134  0.0934    2018-08-03  2025-09-21  2018
QSEC   9.8404  -85.3573    17.645     23.974    -0.154    -9.575      0.066     0.043     0.036   0.9222 -0.3181 -0.3811    2013-03-08  2025-09-21  2006
RIDC   9.9197  -84.0491  1212.165     14.194    -4.151     1.709      0.022     0.027     0.039   0.6365 -0.0300  0.0177    2013-01-01  2025-09-21  2010
RIFO  10.3173  -83.9226   116.257      8.671     0.281    -1.505      0.017     0.023     0.045   0.2950  0.0723  0.1825    2013-03-23  2025-09-21  2010
SAJU  10.0671  -85.7106    73.713     19.194     0.611    -7.612      0.077     0.044     0.041   0.9161 -0.1697 -0.2394    2013-01-01  2025-09-21  2008
SRBA   9.2321  -83.3600   940.003     21.794     7.205    -0.730      0.021     0.022     0.078   0.0055 -0.2111 -0.2053    2017-06-22  2025-09-21  2017
VERA  10.8536  -84.8690    64.313      7.084    -1.600     0.538      0.027     0.022     0.035   0.7655 -0.0163  0.0402    2013-01-01  2025-08-02  2009
VISP   9.9416  -83.8351  2612.701     16.510     0.716    -2.093      0.059     0.020     0.090   0.6975 -0.8595 -0.5351    2015-10-15  2025-09-21  2015
VRAI   9.9248  -83.1906   438.341     10.192     2.324    -4.104      0.010     0.011     0.040   0.0987  0.2887  0.1327    2013-01-01  2025-09-21  2012
